School_ID,School,Carnegie Classification 2018,Religious Affiliation,12-Month FTE Enrollment,Academic Support Expenses Per FTE (FASB),Core Expenses (FASB),Endowment Asset Value,Institutional Support Expenses Per FTE (FASB),Instruction Expenses Per FTE (FASB),Student Services Expenses Per FTE (FASB)
194392,Paul Smiths College of Arts and Science,22,-2,740.0,1632.0,22515802.0,34139186.0,6182.0,9897.0,5424.0
194958,Roberts Wesleyan University,18,64,1586.0,1995.0,37852008.0,33941628.0,6574.0,9977.0,5320.0
195164,St Bonaventure University,19,30,2664.0,4640.0,69698995.0,80824663.0,4059.0,8930.0,7968.0
195173,St. Francis College,22,-2,2801.0,3917.0,89168819.0,45960441.0,8684.0,11119.0,8115.0
195243,St. Thomas Aquinas College,20,-2,1297.0,2468.0,37859001.0,43176551.0,5291.0,10130.0,6402.0
195474,Siena College,20,30,3515.0,3560.0,93047295.0,171314952.0,5775.0,10194.0,6504.0
197911,Barton College,22,61,1169.0,1510.0,25565710.0,28772743.0,4530.0,7823.0,7839.0
197984,Belmont Abbey College,22,30,1502.0,1734.0,40912736.0,11651697.0,9125.0,7350.0,9030.0
198066,Brevard College,22,71,726.0,1490.0,17596548.0,33654804.0,8651.0,6809.0,7287.0
198215,Catawba College,22,-2,1153.0,1665.0,61782811.0,321799560.0,13793.0,11956.0,6081.0
198303,Chowan University,21,75,834.0,1359.0,22511816.0,28585450.0,9099.0,7547.0,7749.0
198561,Gardner-Webb University,17,75,2656.0,919.0,59539179.0,72478059.0,4729.0,9515.0,6523.0
198598,Greensboro College,22,71,822.0,435.0,18892174.0,27948701.0,5028.0,10399.0,7121.0
198613,Guilford College,21,65,1227.0,3915.0,37141440.0,77345082.0,5179.0,9574.0,7014.0
198756,Johnson C Smith University,21,-2,1065.0,4525.0,43261759.0,64251820.0,15444.0,10208.0,7573.0
198808,Lees-McRae College,22,66,853.0,2379.0,20814125.0,34836868.0,6658.0,7637.0,7201.0
198835,Lenoir-Rhyne University,18,39,2038.0,1285.0,56271528.0,128381078.0,7530.0,10810.0,7683.0
198969,Methodist University,20,71,1700.0,1348.0,40600022.0,45459558.0,4793.0,11450.0,6292.0
199032,Montreat College,20,42,941.0,1974.0,24287931.0,9776730.0,5367.0,7737.0,8365.0
199069,University of Mount Olive,20,100,1872.0,2110.0,31076697.0,43004236.0,3892.0,4280.0,6065.0
199209,North Carolina Wesleyan University,22,71,1281.0,1488.0,26597005.0,12759310.0,5503.0,6454.0,6643.0
199272,William Peace University,22,66,702.0,3506.0,19796047.0,49296201.0,10438.0,5676.0,8417.0
199458,Mid-Atlantic Christian University,24,48,112.0,4087.0,3576382.0,4151950.0,9700.0,9732.0,8413.0
199698,St. Andrews University,22,66,806.0,1960.0,20563449.0,5534056.0,1808.0,7022.0,11326.0
199865,Warren Wilson College,21,-2,797.0,2919.0,25616938.0,54958775.0,7650.0,12478.0,8008.0
